"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","KA1","KA2","MA1","MD1","MW1","MW2","MW3","OC1","OD1","OD2","REM","EQD"
"01044099999","2021-01-03T18:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","220,1,N,0036,1","01006,1,C,N","009999,1,9,9","+0040,1","-0010,1","99999,9","07,1,+01006,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01006,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET052METAR ENHK 031850Z 22007KT 9999 BKN033 04/M01 Q1026=",
"01044099999","2021-01-03T19:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","220,1,N,0026,1","01067,1,C,N","009999,1,9,9","+0040,1","-0010,1","99999,9","07,1,+01067,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01067,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET052METAR ENHK 031950Z 22005KT 9999 BKN035 04/M01 Q1026=",
"01044099999","2021-01-03T21:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","217,1,N,0050,1","99999,9,9,9","999999,9,9,9","+0042,1","-0006,1","10267,1",,,,,,"010,M,+0043,1","010,N,+0034,1","99999,9,10258,1","2,1,003,1,+999,9",,,,"0067,1","4,01,0067,1,216","9,99,0051,1,999","SYN004BUFR",
"01044099999","2021-01-04T05:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","222,1,N,0045,1","99999,9,9,9","999999,9,9,9","+0047,1","+0004,1","10255,1",,,,,,"010,M,+0049,1","010,N,+0046,1","99999,9,10247,1","7,1,005,1,+999,9",,,,"0078,1","4,01,0078,1,216","9,99,0061,1,999","SYN004BUFR",
"01044099999","2021-01-04T06:20:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","240,1,N,0021,1","00732,1,C,N","009999,1,9,9","+0050,1","+0010,1","99999,9","07,1,+00732,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00732,1,99,9,99,9",,,"10250,1,99999,9",,"61,1",,,,,,"MET055METAR ENHK 040620Z 24004KT 9999 -RA BKN024 05/01 Q1025=",
"01044099999","2021-01-04T06:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","240,1,N,0041,1","00762,1,C,N","009999,1,9,9","+0050,1","+0010,1","99999,9","07,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00762,1,99,9,99,9",,,"10250,1,99999,9",,"61,1",,,,,,"MET055METAR ENHK 040650Z 24008KT 9999 -RA BKN025 05/01 Q1025=",
"01044099999","2021-01-04T07:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","250,1,N,0041,1","00762,1,C,N","009999,1,9,9","+0050,1","+0010,1","99999,9","07,1,+00762,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00762,1,99,9,99,9",,,"10250,1,99999,9",,"61,1",,,,,,"MET055METAR ENHK 040750Z 25008KT 9999 -RA BKN025 05/01 Q1025=",
"01044099999","2021-01-04T08:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","270,1,N,0072,1","00823,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+00823,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00823,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET051METAR ENHK 040850Z 27014KT 9999 BKN027 06/01 Q1026=",
"01044099999","2021-01-04T09:00:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-12","99999","V020","260,1,N,0070,1","99999,9,9,9","999999,9,9,9","+0060,1","+0006,1","10264,1",,,,,,"010,M,+0060,1","010,N,+0054,1","99999,9,10255,1","3,1,007,1,+999,9",,,,"0104,1","4,01,0104,1,263","9,99,0074,1,999","SYN004BUFR",
"01044099999","2021-01-04T09:50:00","4","70.486675","22.139744","6.4","HASVIK, NO","FM-15","99999","V020","270,1,N,0051,1","00914,1,C,N","009999,1,9,9","+0060,1","+0010,1","99999,9","07,1,+00914,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9",,,"10260,1,99999,9",,,,,,,,"MET051METAR ENHK 040950Z 27010KT 9999 BKN030 06/01 Q1026=",
