{'01044099999': -10.0, '02293099999': -27.6}
         395640 function calls (390840 primitive calls) in 6.386 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       55    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
        2    0.000    0.000    0.000    0.000 adapters.py:280(cert_verify)
     2417    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       33    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        4    0.000    0.000    0.000    0.000 response.py:666(release_conn)
        2    0.000    0.000    0.000    0.000 sessions.py:794(close)
        2    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
     1468    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
      306    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
        1    0.000    0.000    0.000    0.000 mimetypes.py:1(<module>)
      277    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       17    0.000    0.000    0.000    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      320    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      172    0.000    0.000    0.000    0.000 <frozen os>:735(__iter__)
        2    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
