{'01044099999': -10.0, '02293099999': -27.6}
         315347 function calls (310628 primitive calls) in 1.304 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2316(__init__)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 status_codes.py:109(_init)
      192    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 __init__.py:126(EntryPoint)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
      423    0.001    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.001    0.001 request.py:910(AbstractBasicAuthHandler)
      484    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
     1438    0.001    0.000    0.001    0.000 _parser.py:292(tell)
     1262    0.001    0.000    0.001    0.000 _parser.py:175(append)
      142    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
     1463    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      482    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1972    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       93    0.000    0.000    0.001    0.000 _parser.py:97(closegroup)
       73    0.000    0.000    0.001    0.000 enum.py:1607(__and__)
     3418    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       14    0.000    0.000    0.001    0.000 typing.py:1634(__getitem__)
      319    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
      426    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      331    0.001    0.000    0.001    0.000 enum.py:829(__setattr__)
       17    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
       55    0.000    0.000    0.001    0.000 enum.py:354(__setitem__)
     1332    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       52    0.000    0.000    0.001    0.000 ipaddress.py:1939(__init__)
        1    0.001    0.001    0.001    0.001 {built-in method _imp.get_frozen_object}
        1    0.000    0.000    0.001    0.001 __init__.py:444(PercentStyle)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
     2400    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      213    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.001    0.001 mimetypes.py:1(<module>)
